Query 1
id = 16334   score = 1.227419
id = 1916   score = 1.220987
id = 14723   score = 1.220151
id = 407   score = 1.217754
id = 469   score = 1.214521
id = 29402   score = 1.212554
id = 15734   score = 1.208641
id = 7676   score = 1.207653
id = 1162   score = 1.207180
id = 28761   score = 1.206956
id = 9000   score = 1.205028

Query 39
id = 21362   score = 1.356958
id = 28570   score = 1.297108
id = 22938   score = 1.290610
id = 22637   score = 1.286916
id = 13126   score = 1.270598
id = 10994   score = 1.251987
id = 714   score = 1.236608
id = 505   score = 1.227043
id = 8459   score = 1.221805
id = 12157   score = 1.216843
id = 20681   score = 1.216573
id = 25538   score = 1.216439
id = 29353   score = 1.212357
id = 27188   score = 1.212217
id = 15055   score = 1.209409
id = 26054   score = 1.206635
id = 28904   score = 1.202263
id = 3345   score = 1.200663
id = 8501   score = 1.199647
id = 18096   score = 1.196202

Query 40
id = 20991   score = 1.321379
id = 29043   score = 1.243540
id = 9952   score = 1.236319
id = 27628   score = 1.230522
id = 5950   score = 1.230513
id = 21099   score = 1.222659
id = 21806   score = 1.205676
id = 16882   score = 1.203621
id = 24637   score = 1.199041
id = 13266   score = 1.195427
id = 11836   score = 1.195334
id = 28726   score = 1.193902
id = 22899   score = 1.191643
id = 12514   score = 1.188616
id = 22872   score = 1.186926
id = 3035   score = 1.185125
id = 20726   score = 1.184077
id = 10909   score = 1.175124
id = 23468   score = 1.174222
id = 4896   score = 1.173922

Query 41
id = 4235   score = 1.324396
id = 18011   score = 1.266658
id = 24885   score = 1.260514
id = 2930   score = 1.255730
id = 20187   score = 1.254877
id = 6407   score = 1.246921
id = 1711   score = 1.242752
id = 17894   score = 1.239192
id = 14056   score = 1.237038
id = 17340   score = 1.232637
id = 5219   score = 1.221514
id = 18344   score = 1.220679
id = 5734   score = 1.218193
id = 3839   score = 1.214191
id = 17760   score = 1.207674
id = 4403   score = 1.203304
id = 8140   score = 1.200381
id = 3308   score = 1.197475
id = 18135   score = 1.195840
id = 29196   score = 1.195261

Query 42
id = 11218   score = 1.353897
id = 27086   score = 1.338668
id = 4393   score = 1.289475
id = 5760   score = 1.276912
id = 13034   score = 1.252737
id = 20088   score = 1.251273
id = 20629   score = 1.245479
id = 21896   score = 1.236583
id = 9796   score = 1.229093
id = 18025   score = 1.212797
id = 19129   score = 1.211410
id = 6373   score = 1.211127
id = 4035   score = 1.207931
id = 18673   score = 1.205261
id = 21613   score = 1.205259
id = 11221   score = 1.200419
id = 20920   score = 1.199454
id = 29251   score = 1.198922
id = 9982   score = 1.198727
id = 28626   score = 1.196888

Query 43
id = 15108   score = 1.311833
id = 14716   score = 1.290752
id = 114   score = 1.286258
id = 27803   score = 1.283986
id = 21395   score = 1.258253
id = 23083   score = 1.244335
id = 12847   score = 1.243466
id = 8288   score = 1.242691
id = 4663   score = 1.239256
id = 16765   score = 1.233858
id = 22108   score = 1.222372
id = 4447   score = 1.220817
id = 12579   score = 1.220718
id = 402   score = 1.208727
id = 5383   score = 1.207851
id = 5992   score = 1.202905
id = 3152   score = 1.196341
id = 9314   score = 1.192707
id = 24303   score = 1.191530
id = 23142   score = 1.190039

Query 44
id = 20060   score = 1.341479
id = 6328   score = 1.272862
id = 6497   score = 1.266848
id = 4045   score = 1.219626
id = 20546   score = 1.216285
id = 28694   score = 1.207822
id = 349   score = 1.204706
id = 25495   score = 1.201994
id = 22515   score = 1.196443
id = 19358   score = 1.193806
id = 11579   score = 1.192976
id = 10974   score = 1.188058
id = 7813   score = 1.185992
id = 5398   score = 1.177603
id = 1981   score = 1.176650
id = 16298   score = 1.176591
id = 11883   score = 1.172740
id = 13281   score = 1.171862
id = 20646   score = 1.171620
id = 18154   score = 1.169256

Query 45
id = 29063   score = 1.273414
id = 25021   score = 1.271408
id = 21099   score = 1.250381
id = 10909   score = 1.241663
id = 954   score = 1.220744
id = 27372   score = 1.214788
id = 4075   score = 1.212107
id = 15809   score = 1.211128
id = 3567   score = 1.205017
id = 16445   score = 1.204531
id = 14624   score = 1.204453
id = 28575   score = 1.203621
id = 55   score = 1.203103
id = 15468   score = 1.198966
id = 29043   score = 1.198883
id = 9210   score = 1.196053
id = 27770   score = 1.194936
id = 7880   score = 1.194388
id = 9737   score = 1.193768
id = 13050   score = 1.192681

Query 46
id = 948   score = 1.381317
id = 25368   score = 1.346391
id = 2294   score = 1.321995
id = 17532   score = 1.280267
